,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,카페달달 경북대점,"카페,디저트",0.0,154,41,대구 북구 대동로6길 38-2 1층 카페달달 경북대점,20:00에 영업 종료,010-5553-6552,,"* 1호(16*5cm), 2호(19*5cm) 케이크, 포토케이크 주문제작 예약받습니다.
5일전 디자인과 문구를 정하셔서 매장으로 연락 부탁드립니다.",,"{'디저트가 맛있어요': 81, '친절해요': 72, '인테리어가 멋져요': 55, '커피가 맛있어요': 54, '특별한 메뉴가 있어요': 42, '음료가 맛있어요': 34, '매장이 청결해요': 33, '가성비가 좋아요': 26, '사진이 잘 나와요': 23, '대화하기 좋아요': 14, '화장실이 깨끗해요': 5, '뷰가 좋아요': 5, '좌석이 편해요': 2, '주차하기 편해요': 2, '음식이 맛있어요': 1, '집중하기 좋아요': 1}",151,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221012_271%2F1665581810199dzNAJ_JPEG%2F20221011_111938.jpg"""
1,커피디 신암점,카페,0.0,41,21,대구 동구 아양로 29 1층,22:00에 영업 종료,0507-0284-4319,,"농장이나 인위적으로 키워낸 원두가 아닌
REAL 동티모르 고지대 천연야생에서 자란 원두를
현지인의 손으로 직접 한알한알 채집하고
현지매니저의 가공공장을통해 수매가공된 원두를 사용합니다.",,"{'커피가 맛있어요': 27, '친절해요': 23, '음료가 맛있어요': 17, '가성비가 좋아요': 12, '매장이 청결해요': 11, '대화하기 좋아요': 11, '디저트가 맛있어요': 8, '화장실이 깨끗해요': 5, '인테리어가 멋져요': 4, '좌석이 편해요': 3, '특별한 메뉴가 있어요': 2, '집중하기 좋아요': 2, '선물하기 좋아요': 1, '포장이 깔끔해요': 1, '주차하기 편해요': 1, '뷰가 좋아요': 1}",41,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230624_262%2F1687596736103l6JKE_JPEG%2FIMG_3633.jpeg"""
2,인문공학,"카페,디저트",4.45,778,927,대구 동구 동부로 156 인문공학 동대구,11/16 휴무,070-4790-1187,,맛있는 크렘 브륄레가 있는 카페 인문공학입니다:),,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230824_206%2F1692855977240f2FOB_PNG%2F%25BD%25BA%25C5%25A9%25B8%25B0%25BC%25A6_2023-08-24_%25BF%25C0%25C8%25C4_2.46.09.png"""
3,스테이블모먼트 반석점,"카페,디저트",0.0,2453,745,대구 북구 복현로8길 19-36 스테이블 모먼트,22:30에 영업 종료,0507-1498-8002,,"도심 속 힐링뷰를 자랑하는 스테이블 모먼트입니다.
당일 생산하고 당일 폐기하는 신선하고 맛있는 베이커리와 스페셜티 원두를 사용하는 커피 한 잔과 함께 힐링뷰를 즐겨보세요 :)",,"{'뷰가 좋아요': 875, '커피가 맛있어요': 774, '빵이 맛있어요': 615, '인테리어가 멋져요': 411, '음료가 맛있어요': 371, '디저트가 맛있어요': 355, '사진이 잘 나와요': 212, '좌석이 편해요': 210, '주차하기 편해요': 197, '대화하기 좋아요': 197, '친절해요': 185, '매장이 청결해요': 185, '특별한 메뉴가 있어요': 138, '화장실이 깨끗해요': 72, '가성비가 좋아요': 54, '집중하기 좋아요': 39, '매장이 넓어요': 9, '오래 머무르기 좋아요': 4, '야외 공간이 멋져요': 3, '차분한 분위기에요': 1, '컨셉이 독특해요': 1, '아늑해요': 1, '아이와 가기 좋아요': 1, '음악이 좋아요': 1}",1969,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220114_288%2F1642122679247gniOI_JPEG%2F2112FAF7-2B24-4F51-9DCA-B33D75E5D476.jpeg"""
4,애리스커피스탠드,"카페,디저트",0.0,444,879,대구 동구 동부로32길 2,21:30에 라스트오더,010-2426-3311,,,,"{'커피가 맛있어요': 249, '음료가 맛있어요': 72, '특별한 메뉴가 있어요': 64, '디저트가 맛있어요': 62, '친절해요': 53, '가성비가 좋아요': 52, '인테리어가 멋져요': 49, '사진이 잘 나와요': 26, '매장이 청결해요': 25, '대화하기 좋아요': 16, '뷰가 좋아요': 11, '집중하기 좋아요': 7, '아늑해요': 2, '좌석이 편해요': 1, '음악이 좋아요': 1, '야외 공간이 멋져요': 1, '주차하기 편해요': 1, '화장실이 깨끗해요': 1}",326,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200801_246%2F1596236224761mW8Gq_JPEG%2FxkS7vmR8dGoFa-GbzKZcTENA.jpeg.jpg"""
5,모노리스,"카페,디저트",0.0,122,108,대구 동구 평화로 45-12 카페 모노리스,22:00에 라스트오더,010-4671-6987,,"'하나의(mono-) 돌(lith)'

좋은 공간을 만들고 싶다는 하나의 마음으로
다양한 구성원들이 모여 단단하게 만들어낸 공간입니다.
누구나 찾을 수 있고 즐길 수 있는 곳이 되겠습니다.

모노리스의 4층은 스페셜티 메뉴 판매와
전시, 대관, 세미나 등을 위한 공간으로 운영되며
평일에는 예약된 행사가 없을 경우에만
포토존 및 4층 좌석 이용이 가능합니다.

스페셜티의 판매는 매주 금,토,일 3일동안
4층에서 판매하오니 이용에 참고 부탁드립니다.

모노리스의 모든 공간은 케어키즈존입니다.
자녀를 동반하신 분들은 적극적인 케어 부탁드립니다.
특히 4층 루프탑의 경우 안전을 위해
어린이의 단독 입장은 절대 불가하오니
보호자께서 항상 어린이와 동반하여 주십시오.

또한 케어가 필요하다고 판단이 되는 경우
직원의 케어 요청이 있을 수 있습니다.

모두가 즐길 수 있는 공간이 될 수 있도록 배려 부탁드립니다.",,"{'커피가 맛있어요': 82, '인테리어가 멋져요': 55, '디저트가 맛있어요': 48, '뷰가 좋아요': 42, '친절해요': 35, '음료가 맛있어요': 33, '매장이 청결해요': 24, '사진이 잘 나와요': 18, '특별한 메뉴가 있어요': 18, '대화하기 좋아요': 14, '좌석이 편해요': 10, '가성비가 좋아요': 10, '매장이 넓어요': 7, '집중하기 좋아요': 5, '화장실이 깨끗해요': 5, '음식이 맛있어요': 2, '차분한 분위기에요': 1, '빵이 맛있어요': 1, '아늑해요': 1, '메뉴 구성이 알차요': 1, '야외 공간이 멋져요': 1, '비싼 만큼 가치있어요': 1, '오래 머무르기 좋아요': 1, '건강한 맛이에요': 1, '종류가 다양해요': 1}",120,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230624_33%2F1687604825341NMGTQ_JPEG%2FKakaoTalk_20230624_200453428_03.jpg"""
6,브루쓰커피로스터스,"카페,디저트",0.0,366,252,대구 동구 동부로34길 10 1층,22:00에 영업 종료,0507-1308-0798,,"우연한 나눈 대화가 위로가 되는 공간

-2016 제6회 Master Of Cupping(M.O.C) -5위 수상-
-KTV 국민리포트 : '뉴트로 열풍' 속 낡은 주택골목이 뜨다 편 방영 (2019년 04월02일)
-월간커피(과월호 잡지) : 2019년 6월호 소개
-대구일보(신문사) : 인터뷰EP6 브루쓰커피 우연히 나눈 대화가 위로가 되는 공간 방영(2023년 3월 9일)
-대구MBC 생방송 시시각각 : 대구 상권이 달라진다 숨은 핫플의 탄생 편 방영(2023년 4월 26일)
-대구KBS1 지역의 사생활 : 변화하는 대구 상권 편 방영(2023년 9월 1일)",,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190425_33%2F1556166823846VtjEi_JPEG%2FapbYOIucR_S3C14U6tl-a30E.jpeg.jpg"""
7,투썸플레이스 북대구IC주유소DT점,카페,4.41,1394,87,대구 북구 동북로 113,23:00에 영업 종료,0507-1367-1222,,"뷰가 진짜 좋고 노을이 예쁜 투썸플레이스 북대구IC주유소DT점 ! !
높은층고와 넓은매장, 넓은 주차공간, 예쁜테라스, 루프탑이 특징입니다 !! 
사진도 잘 나오니 인생샷 찍고 가세요 ~~",,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200526_244%2F1590424507510nKEeD_JPEG%2Fk9lmjmsUz8_aMRq9tWB4ILbf.jpg"""
8,아눅,"카페,디저트",4.44,525,649,대구 동구 동부로 158-5,21:30에 라스트오더,0507-1431-1060,,"We exist so that you may rest assured and eat proper every day.
매일 매일 믿고 먹을 수 있는 올바른 식문화를 위해 존재합니다.

Our brand name refers to a quiet and cozy place. It is naturally humble and faithful to
the basics. We adjust subtle textures and flavors daily as we prioritize creating with
sincerity and good ingredients. We endeavor for a healthy eating culture that is beyond
a good place.

아늑하고 조용한 곳이라는 이름에서 시작했습니다.
그곳에는 화려하지 않은 자연스러움이 있고,
기본에 충실하는 태도가 있습니다.
좋은 재료로 진정성 있게 만들어가는 것을 중요시하며
매일 미세한 식감과 풍미의 차이를 조율합니다.
좋은 공간을 넘어선 건강한 식문화를 위해 노력합니다.

[ a.nook Bakers ]
Artisan Bread 를 지향합니다.
매일 빵의 재료를 개량하는 일부터
반죽하고, 발효하고, 굽는 모든 제빵 공정을
직접 하고 있습니다.

[ a.nook Coffee Roastery ]
Specialty coffee 를 지향합니다.
다양하고 가치 있는 스페셜티 생두를 찾는 노력,
일관적인 로스팅과 안정적인 밸런스를 위한
추출 테크닉으로 보다 좋은 커피를 제공합니다.

[ a.nook Brunch ]
proper eating culture 를 지향합니다.
당일 생산한 Artisan Bread 와
신선한 식재료를 정성스럽게 조리합니다.
가볍게 즐길 수 있지만 만족스러운 브런치 입니다.

후기좋은 일상 맛집을 위해 노력합니다.
맛있는 디저트 분위기 좋은 카페

대구카페, 대구동대구역카페, 동대구역카페, 신천동카페, 동대구역맛집, 동대구맛집, 대구맛집, 동대구역핫플, 신천동핫플, 대구핫플",,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F%2F20170612_278%2F14972542278701ayXI_JPEG%2F20170606_192524.jpg"""
9,커피장인 경대북문점,카페,4.79,714,198,대구 북구 대동로10길 17-2 커피장인 경대북문점,23:00에 영업 종료,0507-1448-2101,,"원두도매가 납품,소량원두,핸드드립커피,로스팅카페,더치커피,더치원액,디저트,코르타도",,"{'커피가 맛있어요': 394, '친절해요': 224, '음료가 맛있어요': 194, '디저트가 맛있어요': 159, '가성비가 좋아요': 156, '대화하기 좋아요': 104, '매장이 청결해요': 85, '특별한 메뉴가 있어요': 71, '집중하기 좋아요': 70, '인테리어가 멋져요': 64, '좌석이 편해요': 46, '사진이 잘 나와요': 14, '화장실이 깨끗해요': 13, '뷰가 좋아요': 7, '음악이 좋아요': 6, '차분한 분위기에요': 4, '아늑해요': 3, '주차하기 편해요': 3, '야외 공간이 멋져요': 1, '포장이 깔끔해요': 1, '종류가 다양해요': 1}",507,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231014_180%2F1697261302583YVtA6_PNG%2FIMG_4197.png"""
