,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,레스트인로드,"카페,디저트",0.0,180,42,"경북 경산시 대학로13길 91-22 1, 2층",21:00에 영업 종료,0507-1478-8220,,"정평동 브런치 카페로 운영되고 있습니다! 돈까스, 수제버거, 커피, 음료 다양한 종류가 있습니다^^",,"{'인테리어가 멋져요': 98, '친절해요': 81, '커피가 맛있어요': 78, '매장이 청결해요': 78, '음료가 맛있어요': 77, '특별한 메뉴가 있어요': 76, '가성비가 좋아요': 54, '대화하기 좋아요': 43, '사진이 잘 나와요': 38, '디저트가 맛있어요': 36, '음식이 맛있어요': 27, '주차하기 편해요': 24, '뷰가 좋아요': 22, '좌석이 편해요': 20, '집중하기 좋아요': 14, '화장실이 깨끗해요': 12, '메뉴 구성이 알차요': 8, '양이 많아요': 7, '음악이 좋아요': 2, '아늑해요': 1, '재료가 신선해요': 1, '아이와 가기 좋아요': 1, '오래 머무르기 좋아요': 1}",177,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230620_235%2F1687263269432q1TUG_JPEG%2FIMG_8203.jpeg"""
1,스펠링하우스,"카페,디저트",0.0,78,104,경북 경산시 대학로8길 53 1층,22:00에 영업 종료,0507-1368-5332,,"알파벳이 모여 단어가 되듯이,
스펠링 하우스에 다양한 사람들이 모여
매일 새로운 공간으로 채워나가길 원합니다.

같이 누릴 이 공간에 여러분의 추억을 흘리고 가길 바래봅니다:)",,"{'디저트가 맛있어요': 61, '친절해요': 47, '커피가 맛있어요': 41, '인테리어가 멋져요': 36, '특별한 메뉴가 있어요': 30, '매장이 청결해요': 28, '음료가 맛있어요': 17, '사진이 잘 나와요': 11, '대화하기 좋아요': 11, '집중하기 좋아요': 7, '가성비가 좋아요': 3, '차분한 분위기에요': 2, '좌석이 편해요': 2, '음식이 맛있어요': 2, '비싼 만큼 가치있어요': 2, '화장실이 깨끗해요': 2, '선물하기 좋아요': 1, '주차하기 편해요': 1, '건강한 맛이에요': 1, '뷰가 좋아요': 1}",78,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230208_253%2F1675829400708JzlHc_JPEG%2FA36CCC32-1237-4A8F-8621-2E980425B971.jpeg"""
2,레스트인로드,"카페,디저트",0.0,180,42,"경북 경산시 대학로13길 91-22 1, 2층",21:00에 영업 종료,0507-1478-8220,,"정평동 브런치 카페로 운영되고 있습니다! 돈까스, 수제버거, 커피, 음료 다양한 종류가 있습니다^^",,"{'인테리어가 멋져요': 98, '친절해요': 81, '커피가 맛있어요': 78, '매장이 청결해요': 78, '음료가 맛있어요': 77, '특별한 메뉴가 있어요': 76, '가성비가 좋아요': 54, '대화하기 좋아요': 43, '사진이 잘 나와요': 38, '디저트가 맛있어요': 36, '음식이 맛있어요': 27, '주차하기 편해요': 24, '뷰가 좋아요': 22, '좌석이 편해요': 20, '집중하기 좋아요': 14, '화장실이 깨끗해요': 12, '메뉴 구성이 알차요': 8, '양이 많아요': 7, '음악이 좋아요': 2, '아늑해요': 1, '재료가 신선해요': 1, '아이와 가기 좋아요': 1, '오래 머무르기 좋아요': 1}",177,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230620_235%2F1687263269432q1TUG_JPEG%2FIMG_8203.jpeg"""
3,라보리,베이커리,4.76,238,15,경북 경산시 성동로 20 1층 laborie bakery,매주 목요일 휴무,0507-1349-9749,,"수입산 유기농밀, 맷돌 제분 우리밀, 친환경 프랑스밀, 유기농 우유와 설탕, 동물복지 유정란으로 만듭니다.

메뉴는 조금씩 변동이 있으니 전화 문의 주시거나 인스타그램을 참고해 주세요",,"{'빵이 맛있어요': 141, '친절해요': 65, '매장이 청결해요': 53, '특별한 메뉴가 있어요': 48, '가성비가 좋아요': 23, '커피가 맛있어요': 18, '인테리어가 멋져요': 10, '음료가 맛있어요': 7, '좌석이 편해요': 3, '뷰가 좋아요': 3, '사진이 잘 나와요': 2, '집중하기 좋아요': 2, '화장실이 깨끗해요': 2, '디저트가 맛있어요': 1, '음식이 맛있어요': 1, '주차하기 편해요': 1, '종류가 다양해요': 1}",165,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210222_49%2F1613979140217FvnU3_JPEG%2FrnYVFLXg6syPjxgk_C4faOMP.jpeg.jpg"""
4,에브리스윗데이,"카페,디저트",0.0,49,86,경북 경산시 강변서로51길 22,20:00에 영업 종료,0507-1435-4665,,"경산베이킹클래스&답례품&주문제작케이크
(매장판매는 하지 않습니다! 오픈일은 카톡&인스타로 미리 공지 후 오픈합니다. 공지사항 확인부탁드려요)

인스타그램에 사진 많이 있어요! 구경오세용 :)
@every_sweet_dat",,"{'친절해요': 45, '매장이 청결해요': 37, '특별한 메뉴가 있어요': 29, '빵이 맛있어요': 28, '인테리어가 멋져요': 23, '디저트가 맛있어요': 16, '사진이 잘 나와요': 16, '가성비가 좋아요': 15, '좌석이 편해요': 2, '음료가 맛있어요': 2, '주차하기 편해요': 2, '대화하기 좋아요': 2, '커피가 맛있어요': 1, '특별한 날 가기 좋아요': 1}",48,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221203_238%2F1670040688512X2HFJ_JPEG%2F8918851E-B63E-443C-AAB1-E84680993075.jpeg"""
5,논팔로우,"카페,디저트",0.0,136,75,경북 경산시 강변서로 237 1층,22:00에 영업 종료,0507-1303-1404,,커피와 케이크가 맛있는 채광맛집 감성 카페,,"{'커피가 맛있어요': 67, '인테리어가 멋져요': 54, '매장이 청결해요': 46, '디저트가 맛있어요': 45, '음료가 맛있어요': 30, '사진이 잘 나와요': 29, '친절해요': 28, '좌석이 편해요': 26, '대화하기 좋아요': 26, '뷰가 좋아요': 24, '특별한 메뉴가 있어요': 11, '화장실이 깨끗해요': 11, '주차하기 편해요': 10, '집중하기 좋아요': 9, '가성비가 좋아요': 3}",134,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220124_77%2F1643023528010tSmGI_JPEG%2F249E2B71-539F-4121-9CB0-7B1873BA07AF.jpeg"""
6,리노크 경산점,베이커리,0.0,109,90,경북 경산시 대학로9길 11 중산상가 1층 105호,19:30에 영업 종료,0507-1312-7194,,경산 구움과자전문점,,"{'빵이 맛있어요': 92, '특별한 메뉴가 있어요': 68, '친절해요': 57, '인테리어가 멋져요': 48, '매장이 청결해요': 39, '가성비가 좋아요': 29, '커피가 맛있어요': 28, '음료가 맛있어요': 25, '사진이 잘 나와요': 15, '집중하기 좋아요': 3, '대화하기 좋아요': 3, '디저트가 맛있어요': 2, '음식이 맛있어요': 1, '주차하기 편해요': 1, '뷰가 좋아요': 1}",108,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220325_163%2F1648185975230qN8kI_JPEG%2FA2367269-8BAD-404B-95B2-7E240D304918.jpeg"""
7,이디야커피 정평점,카페,4.48,856,30,경북 경산시 대학로13길 89 1층 102호,22:00에 영업 종료,053-816-7333,,"Always beside you, EDIYA COFFEE
일상 속 모두에게 커피를 통한 휴식과 영감을 제공하는 이디야커피는,
대한민국의 커피 문화를 만들어가는 가장 가까운 안식처입니다.",,"{'커피가 맛있어요': 273, '음료가 맛있어요': 163, '매장이 청결해요': 118, '가성비가 좋아요': 109, '대화하기 좋아요': 86, '디저트가 맛있어요': 80, '집중하기 좋아요': 78, '주차하기 편해요': 77, '좌석이 편해요': 75, '친절해요': 74, '인테리어가 멋져요': 33, '화장실이 깨끗해요': 29, '특별한 메뉴가 있어요': 24, '뷰가 좋아요': 11, '사진이 잘 나와요': 9}",643,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231102_277%2F1698892786311vReTQ_JPEG%2FSNS%25B1%25E2%25C5%25B8_%25B3%25D7%25C0%25CC%25B9%25F6%25C3%25A4%25B3%25CE_%25BB%25EA%25B8%25AE%25BF%25C0%25BD%25C3%25C1%25F02%2528%25B8%25DE%25B4%25BA%2529.jpg"""
8,텐퍼센트커피 경산정평역봉춘점,카페,4.42,298,17,경북 경산시 대학로12길 6 111동 1호,22:00에 영업 종료,0507-0289-3538,,텐퍼센트스페셜티커피 경산정평역봉춘점입니다. 저희 매장은 [패스오더 앱]으로 편하게 주문이 가능한 매장입니다!,,"{'커피가 맛있어요': 115, '친절해요': 49, '음료가 맛있어요': 45, '가성비가 좋아요': 45, '매장이 청결해요': 20, '디저트가 맛있어요': 17, '특별한 메뉴가 있어요': 11, '인테리어가 멋져요': 7, '주차하기 편해요': 6, '뷰가 좋아요': 6, '좌석이 편해요': 5, '사진이 잘 나와요': 5, '대화하기 좋아요': 5, '화장실이 깨끗해요': 4, '집중하기 좋아요': 3}",210,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210204_175%2F1612399395328nyVk8_JPEG%2FeR4IBlXVM9ymNs7CwmVQpmmN.jpg"""
9,미송당,베이커리,4.48,226,128,경북 경산시 대학로 59-10,20:00에 영업 종료,070-7371-1651,,,,"{'빵이 맛있어요': 73, '가성비가 좋아요': 28, '특별한 메뉴가 있어요': 22, '친절해요': 20, '매장이 청결해요': 15, '인테리어가 멋져요': 6, '음료가 맛있어요': 3, '사진이 잘 나와요': 3, '대화하기 좋아요': 3, '커피가 맛있어요': 2, '주차하기 편해요': 2, '좌석이 편해요': 1, '아늑해요': 1, '집중하기 좋아요': 1, '화장실이 깨끗해요': 1, '뷰가 좋아요': 1}",94,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190131_216%2F1548941198199ckCR7_JPEG%2Fwkk3sthhzt4_LMA1a4-08aNg.jpg"""
